what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1404286875500
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1404286876343
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404286878281
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404286893593
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404286899046
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404286907031
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1404286907234
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1404286907328
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1404286913328
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1404286917062
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1404286932562
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404286938796
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404286946937
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1404286947078
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1404286950250
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1404286952062
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1404286952578
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.format",1404286952937
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1404286953125
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1404286954390
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1404286955343
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404286956375
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404286956984
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404286957359
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404287050359
